label	tweet
0	!!! RT @USER: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...
1	!!!!! RT @USER: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!
1	!!!!!!! RT @USER Dawg!!!! RT @USER: You ever fuck a bitch and she start to cry? You be confused as shit
1	!!!!!!!!! RT @USER: @USER she look like a tranny
1	!!!!!!!!!!!!! RT @USER: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;
1	!!!!!!!!!!!!!!!!!!"@USER: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;"
1	!!!!!!"@USER: I can not just sit up and HATE on another bitch .. I got too much shit going on!"
1	!!!!&#8220;@USER: cause I'm tired of you big bitches coming for us skinny girls!!&#8221;
1	" &amp; you might not get ya bitch back &amp; thats that "
1	" @USER :hobbies include: fighting Mariam"  bitch
1	" Keeks is a bitch she curves everyone " lol I walked into a conversation like this. Smh
1	" Murda Gang bitch its Gang Land "
1	" So hoes that smoke are losers ? " yea ... go on IG
1	" bad bitches is the only thing that i like "
1	" bitch get up off me "
1	" bitch nigga miss me with it "
1	" bitch plz whatever "
1	" bitch who do you love "
1	" bitches get cut off everyday B "
1	" black bottle &amp; a bad bitch "
1	" broke bitch cant tell me nothing "
1	" cancel that bitch like Nino "
1	" cant you see these hoes wont change "
1	" fuck no that bitch dont even suck dick " &#128514;&#128514;&#128514; the Kermit videos bout to fuck IG up
1	" got ya bitch tip toeing on my hardwood floors " &#128514; http://t.co/cOU2WQ5L4q
1	" her pussy lips like Heaven doors " &#128524;
1	" hoe what its hitting for "
1	" i met that pussy on Ocean Dr . i gave that pussy a pill " &#128524;
1	" i need a trippy bitch who fuck on Hennessy "
1	" i spend my money how i want bitch its my business "
1	" i txt my old bitch my new bitch pussy wetter "
1	" i'd say im back to the old me but my old bitches would get excited " &#128524;
1	" if you aint bout that Murder Game pussy nigga shut up "
1	" if you're toes ain't done you pussy stinks "
1	" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that "
1	" is that ya bitch "
1	" it aint nothing to cut a bitch off "
1	" jus meet son now he ya mane ass bitches " #Shots
1	" lames crying over hoes thats tears of a clown "
1	" like Snoop said in 94 we dont love these hoes "
0	" momma said no pussy cats inside my doghouse "
1	" most hated but the hoes favorite " #2MW #SevenOne # http://t.co/BMdSVMc3rC
1	" nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick" http://t.co/bzRDl3kF7U
1	" pimps up pimps up hoes down " Future voice
1	" post a picture of that pussy get 200 likes "
1	" pussy is a powerful drug " &#128517; #HappyHumpDay http://t.co/R8jsymiB5b
1	" quick piece of pussy call it a drive by "
1	" running round here like some brand new pussy thats bout to get fucked "
1	" these bitches even worst they'll send them guys for you "
1	" these hoes like niggas that spend money not talk bout it "
1	" we dont trust these niggas all these bitches "
1	" yall niggas b cuffing hoes cause yall aint never have bitches "
1	" you dodge a bullet " &#128517; &#8220;@USER: "All da bitches I cut off pregnant or bound to be ....thank God &#128591;"&#8221;
1	" young Pill Chamberlain these bitches love my music "
1	"&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@USER: Teanna Trump probably cleaner than most of these twitter hoes but........."
1	"&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@USER: Gay niggas couldn't wait to act like bitches tonight"
1	"&#128514;&#128514;&#128514;@USER: And ima steal his cat n replace it with a pitbull &#128514;&#128514;&#128514;&#128514; RT @USER: @USER He a bitch you should do it"
1	"&amp; he's gone always be a hoe"
1	"...Son of a bitch took my Tic Tacs."  I like this movie.
